기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201805,광주광역시,외부방문자(b+c),5321025.0,0.0,0.0
201805,광주광역시,전체방문자(a+b+c),2.7741748E7,0.0,0.0
201805,대전광역시,현지인방문자(a),2.2353401E7,0.0,0.0
201805,대전광역시,외지인방문자(b),6836918.0,0.0,0.0
201805,대전광역시,외국인방문자(c),25082.0,0.0,0.0
201805,대전광역시,외부방문자(b+c),6862000.0,0.0,0.0
201805,대전광역시,전체방문자(a+b+c),2.9215401E7,0.0,0.0
201805,울산광역시,현지인방문자(a),1.5259668E7,0.0,0.0
201805,울산광역시,외지인방문자(b),3946134.0,0.0,0.0
201805,울산광역시,외국인방문자(c),58157.0,0.0,0.0
201805,울산광역시,외부방문자(b+c),4004291.0,0.0,0.0
201805,울산광역시,전체방문자(a+b+c),1.9263959E7,0.0,0.0
201805,세종특별자치시,현지인방문자(a),3207340.0,0.0,0.0
201805,세종특별자치시,외지인방문자(b),1919726.0,0.0,0.0
201805,세종특별자치시,외국인방문자(c),5978.0,0.0,0.0
201805,세종특별자치시,외부방문자(b+c),1925703.0,0.0,0.0
201805,세종특별자치시,전체방문자(a+b+c),5133044.0,0.0,0.0
201805,경기도,현지인방문자(a),1.63498636E8,0.0,0.0
201805,경기도,외지인방문자(b),5.2493259E7,0.0,0.0
201805,경기도,외국인방문자(c),478256.0,0.0,0.0
201805,경기도,외부방문자(b+c),5.2971515E7,0.0,0.0
201805,경기도,전체방문자(a+b+c),2.16470151E8,0.0,0.0
201805,강원도,현지인방문자(a),2.6776344E7,0.0,0.0
201805,강원도,외지인방문자(b),1.1278176E7,0.0,0.0
201805,강원도,외국인방문자(c),67325.0,0.0,0.0
201805,강원도,외부방문자(b+c),1.1345501E7,0.0,0.0
201805,강원도,전체방문자(a+b+c),3.8121845E7,0.0,0.0
201805,충청북도,현지인방문자(a),2.2501563E7,0.0,0.0
201805,충청북도,외지인방문자(b),9134895.0,0.0,0.0
201805,충청북도,외국인방문자(c),46730.0,0.0,0.0
201805,충청북도,외부방문자(b+c),9181625.0,0.0,0.0
201805,충청북도,전체방문자(a+b+c),3.1683188E7,0.0,0.0
201805,충청남도,현지인방문자(a),2.8936992E7,0.0,0.0
201805,충청남도,외지인방문자(b),1.30237E7,0.0,0.0
201805,충청남도,외국인방문자(c),80198.0,0.0,0.0
201805,충청남도,외부방문자(b+c),1.3103897E7,0.0,0.0
201805,충청남도,전체방문자(a+b+c),4.2040889E7,0.0,0.0
201805,전라북도,현지인방문자(a),2.7154603E7,0.0,0.0
201805,전라북도,외지인방문자(b),7782758.0,0.0,0.0
201805,전라북도,외국인방문자(c),44936.0,0.0,0.0
201805,전라북도,외부방문자(b+c),7827694.0,0.0,0.0
201805,전라북도,전체방문자(a+b+c),3.4982297E7,0.0,0.0
201805,전라남도,현지인방문자(a),2.4222068E7,0.0,0.0
201805,전라남도,외지인방문자(b),1.0142139E7,0.0,0.0
201805,전라남도,외국인방문자(c),123021.0,0.0,0.0
201805,전라남도,외부방문자(b+c),1.026516E7,0.0,0.0
201805,전라남도,전체방문자(a+b+c),3.4487228E7,0.0,0.0
201805,경상북도,현지인방문자(a),4.07743E7,0.0,0.0
201805,경상북도,외지인방문자(b),1.4384654E7,0.0,0.0
201805,경상북도,외국인방문자(c),118536.0,0.0,0.0
